"Brand","model","Year","Age","kmDriven","Transmission","Owner","FuelType","PostedDate","AskPrice","PostedYear","LogAskPrice","isLuxury","kmPerYear","PostedMonths","Brand.model"
"Honda","City",2001,23,98000,"Manual","second","Petrol",2024-11-15,195000,2024,12.1807548375459,FALSE,4260.86956521739,12,"Honda-City"
"Toyota","Innova",2009,15,150500,"Manual","second","Diesel",2024-07-15,375000,2024,12.8346813049525,FALSE,10033.3333333333,8,"Toyota-Innova"
"Volkswagen","VentoTest",2010,14,77246,"Manual","first","Diesel",2024-11-15,184999,2024,12.1281056986404,FALSE,5517.57142857143,12,"Volkswagen-VentoTest"
"Maruti Suzuki","Swift",2017,7,83500,"Manual","second","Diesel",2024-11-15,565000,2024,13.2445810101286,FALSE,11928.5714285714,12,"Maruti Suzuki-Swift"
"Maruti Suzuki","Baleno",2019,5,45000,"Automatic","first","Petrol",2024-11-15,685000,2024,13.4371741172444,FALSE,9000,12,"Maruti Suzuki-Baleno"
"BMW","X3",2014,10,83000,"Automatic","first","Diesel",2024-11-15,1350000,2024,14.1156151504146,TRUE,8300,12,"BMW-X3"
"Toyota","Innova",2014,10,150500,"Manual","second","Diesel",2024-11-15,1025000,2024,13.8402031705546,FALSE,15050,12,"Toyota-Innova"
"BMW","5 Series",2019,5,25000,"Automatic","second","Diesel",2024-11-15,5950000,2024,15.5989017775218,TRUE,5000,12,"BMW-5 Series"
"Maruti Suzuki","maruti-suzuki-dzire",2020,4,33759,"Manual","second","Petrol",2024-11-15,622000,2024,13.3406953717213,FALSE,8439.75,12,"Maruti Suzuki-maruti-suzuki-dzire"
"Ford","Ecosport",2017,7,69713,"Manual","second","Petrol",2024-11-15,649000,2024,13.3831879956862,TRUE,9959,12,"Ford-Ecosport"
"Maruti Suzuki","Alto-K10",2018,6,70000,"Automatic","first","Petrol",2024-11-15,395000,2024,12.8866410438833,FALSE,11666.6666666667,12,"Maruti Suzuki-Alto-K10"
"Kia","Carnival",2021,3,25000,"Automatic","first","Diesel",2024-11-15,2900000,2024,14.8802212949567,FALSE,8333.33333333333,12,"Kia-Carnival"
"Maruti Suzuki","Swift-Dzire",2012,12,72700,"Manual","second","Petrol",2024-11-15,240000,2024,12.3883942023241,FALSE,6058.33333333333,12,"Maruti Suzuki-Swift-Dzire"
"Toyota","Corolla",2007,17,121931,"Automatic","second","Petrol",2024-11-15,201350,2024,12.2127999662796,FALSE,7172.41176470588,12,"Toyota-Corolla"
"Mercedes-Benz","GLE COUPE",2021,3,32000,"Automatic","second","Petrol",2024-10-15,11800000,2024,16.2836100894359,TRUE,10666.6666666667,11,"Mercedes-Benz-GLE COUPE"
"Hyundai","Xcent",2018,6,130000,"Manual","second","Diesel",2024-11-15,330000,2024,12.7068479334427,FALSE,21666.6666666667,12,"Hyundai-Xcent"
"Kia","Seltos",2020,4,68000,"Manual","first","Diesel",2024-10-15,1045000,2024,13.859527443381,FALSE,17000,11,"Kia-Seltos"
"Maruti Suzuki","Ertiga",2016,8,65000,"Manual","second","Diesel",2024-11-15,785000,2024,13.5734389967645,FALSE,8125,12,"Maruti Suzuki-Ertiga"
"Maruti Suzuki","Ertiga",2017,7,59000,"Automatic","second","Petrol",2024-11-15,555000,2024,13.2267233927286,FALSE,8428.57142857143,12,"Maruti Suzuki-Ertiga"
"BMW","3 Series GT",2015,9,61000,"Automatic","second","Diesel",2024-11-15,1500000,2024,14.2209756660724,TRUE,6777.77777777778,12,"BMW-3 Series GT"
"Ford","Endeavour",2019,5,77000,"Automatic","second","Diesel",2024-11-15,2399000,2024,14.6905625418218,TRUE,15400,12,"Ford-Endeavour"
"Toyota","Innova Crysta",2017,7,107000,"Automatic","first","Diesel",2024-11-15,1325000,2024,14.0969230174025,FALSE,15285.7142857143,12,"Toyota-Innova Crysta"
"Honda","City",2010,14,99000,"Manual","first","Petrol",2024-11-15,295000,2024,12.594730635322,FALSE,7071.42857142857,12,"Honda-City"
"Audi","A3",2015,9,42000,"Automatic","second","Diesel",2024-11-15,1050000,2024,13.8643007221337,TRUE,4666.66666666667,12,"Audi-A3"
"Renault","KWID",2019,5,48073,"Automatic","second","Petrol",2024-11-15,355000,2024,12.7798730684576,FALSE,9614.6,12,"Renault-KWID"
"MG","Hector",2019,5,32618,"Automatic","first","Petrol",2024-10-15,1250000,2024,14.0386541092785,FALSE,6523.6,11,"MG-Hector"
"Maruti Suzuki","Swift-Dzire",2012,12,70000,"Manual","second","Diesel",2024-11-15,315000,2024,12.6603279178078,FALSE,5833.33333333333,12,"Maruti Suzuki-Swift-Dzire"
"Maruti Suzuki","Celerio",2014,10,51000,"Automatic","second","Petrol",2024-11-15,345000,2024,12.7512996960135,FALSE,5100,12,"Maruti Suzuki-Celerio"
"Maruti Suzuki","Vitara-Brezza",2018,6,137000,"Manual","first","Diesel",2024-11-15,845000,2024,13.6470919063393,FALSE,22833.3333333333,12,"Maruti Suzuki-Vitara-Brezza"
"Toyota","2.8 Legender 4X2",2023,1,1996,"Automatic","first","Diesel",2024-11-15,4195000,2024,15.2494038978834,FALSE,1996,12,"Toyota-2.8 Legender 4X2"
"Toyota","Innova Crysta",2017,7,90000,"Manual","second","Diesel",2024-11-15,1950000,2024,14.4833399305399,FALSE,12857.1428571429,12,"Toyota-Innova Crysta"
"Toyota","Innova",2011,13,84000,"Manual","second","Diesel",2024-11-15,490000,2024,13.1021606700868,FALSE,6461.53846153846,12,"Toyota-Innova"
"Volvo","S90",2018,6,53000,"Automatic","first","Diesel",2024-11-15,2950000,2024,14.897315728316,TRUE,8833.33333333333,12,"Volvo-S90"
"Hyundai","Venue",2021,3,17000,"Manual","first","Petrol",2024-11-15,685000,2024,13.4371741172444,FALSE,5666.66666666667,12,"Hyundai-Venue"
"Maruti Suzuki","Ertiga",2018,6,70000,"Manual","second","Petrol",2024-11-15,749000,2024,13.5264942624994,FALSE,11666.6666666667,12,"Maruti Suzuki-Ertiga"
"Hyundai","Creta",2023,1,5000,"Automatic","first","Petrol",2024-11-15,1600000,2024,14.28551418721,FALSE,5000,12,"Hyundai-Creta"
"Hyundai","Alcazar",2022,2,47110,"Manual","second","Diesel",2024-11-15,1695000,2024,14.3431932987967,FALSE,23555,12,"Hyundai-Alcazar"
"Hyundai","i20",2019,5,35000,"Manual","first","Petrol",2024-11-15,585000,2024,13.279367126214,FALSE,7000,12,"Hyundai-i20"
"Mercedes-Benz","E-Class",2019,5,101570,"Automatic","first","Diesel",2024-10-15,4200000,2024,15.2505950832536,TRUE,20314,11,"Mercedes-Benz-E-Class"
"Volkswagen","Polo",2021,3,42000,"Manual","second","Petrol",2024-11-15,675000,2024,13.4224679698547,FALSE,14000,12,"Volkswagen-Polo"
"Maruti Suzuki","Baleno",2018,6,30000,"Manual","second","Petrol",2024-11-15,630000,2024,13.3534750983677,FALSE,5000,12,"Maruti Suzuki-Baleno"
"Hyundai","Verna",2016,8,82100,"Manual","second","Diesel",2024-11-15,465000,2024,13.0497926845695,FALSE,10262.5,12,"Hyundai-Verna"
"Audi","A4",2012,12,90000,"Automatic","second","Diesel",2024-08-15,899000,2024,13.7090383134538,TRUE,7500,9,"Audi-A4"
"Toyota","Fortuner",2011,13,150500,"Manual","second","Diesel",2024-11-15,1125000,2024,13.9332935936207,FALSE,11576.9230769231,12,"Toyota-Fortuner"
"Mercedes-Benz","C-Class",2015,9,65000,"Automatic","first","Diesel",2024-11-15,1750000,2024,14.3751263458997,TRUE,7222.22222222222,12,"Mercedes-Benz-C-Class"
"Hyundai","Creta",2022,2,30000,"Automatic","second","Petrol",2024-11-15,1690000,2024,14.3402390868993,FALSE,15000,12,"Hyundai-Creta"
"Maruti Suzuki","Swift-Dzire",2020,4,94856,"Manual","first","Petrol",2024-11-15,690000,2024,13.4444468765734,FALSE,23714,12,"Maruti Suzuki-Swift-Dzire"
"Skoda","Kushaq",2023,1,12000,"Automatic","first","Petrol",2024-11-15,1800000,2024,14.4032972228664,FALSE,12000,12,"Skoda-Kushaq"
"Maruti Suzuki","Ciaz",2018,6,0,"Manual","first","Petrol",2024-11-15,500000,2024,13.1223633774043,FALSE,0,12,"Maruti Suzuki-Ciaz"
"Tata","Safari",2010,14,150500,"Manual","first","Diesel",2024-11-15,800000,2024,13.5923670066501,FALSE,10750,12,"Tata-Safari"
"Toyota","Innova Crysta",2018,6,118000,"Automatic","first","Diesel",2024-11-15,1795000,2024,14.4005155799045,FALSE,19666.6666666667,12,"Toyota-Innova Crysta"
"Mercedes-Benz","C-Class",2016,8,41000,"Automatic","second","Petrol",2024-10-15,2000000,2024,14.5086577385242,TRUE,5125,11,"Mercedes-Benz-C-Class"
"Honda","City",2010,14,79000,"Manual","second","Petrol",2024-11-15,290000,2024,12.5776362019627,FALSE,5642.85714285714,12,"Honda-City"
"Honda","BRV",2016,8,103001,"Manual","second","Diesel",2024-11-15,555555,2024,13.2277228930617,FALSE,12875.125,12,"Honda-BRV"
"Hyundai","Creta",2017,7,70000,"Manual","second","Petrol",2024-11-15,765000,2024,13.5476311128087,FALSE,10000,12,"Hyundai-Creta"
"Renault","Duster",2018,6,130000,"Manual","first","Diesel",2024-11-15,690000,2024,13.4444468765734,FALSE,21666.6666666667,12,"Renault-Duster"
"Maruti Suzuki","Wagon-R",2011,13,78000,"Manual","second","Petrol",2024-11-15,225000,2024,12.3238556811866,FALSE,6000,12,"Maruti Suzuki-Wagon-R"
"Toyota","Fortuner",2017,7,115000,"Automatic","second","Diesel",2024-11-15,2390000,2024,14.6868039239077,FALSE,16428.5714285714,12,"Toyota-Fortuner"
"Mahindra","Bolero Power Plus",2017,7,150500,"Manual","second","Diesel",2024-11-15,550000,2024,13.2176735572087,FALSE,21500,12,"Mahindra-Bolero Power Plus"
"Hyundai","Eon",2017,7,27000,"Manual","second","Petrol",2024-10-15,300000,2024,12.6115377536383,FALSE,3857.14285714286,11,"Hyundai-Eon"
"MG","Hector Plus",2020,4,81600,"Automatic","first","Petrol",2024-11-15,1021000,2024,13.8362930971468,FALSE,20400,12,"MG-Hector Plus"
"Hyundai","Creta",2017,7,54000,"Automatic","first","Petrol",2024-11-15,811000,2024,13.6060233330975,FALSE,7714.28571428571,12,"Hyundai-Creta"
"Mahindra","XUV500",2018,6,76000,"Manual","first","Diesel",2024-11-15,1125000,2024,13.9332935936207,FALSE,12666.6666666667,12,"Mahindra-XUV500"
"Mercedes-Benz","GLS",2014,10,86000,"Automatic","first","Diesel",2024-11-15,3000000,2024,14.9141228466324,TRUE,8600,12,"Mercedes-Benz-GLS"
"Hyundai","i10",2011,13,65000,"Manual","second","Petrol",2024-11-15,115000,2024,11.6526874073454,FALSE,5000,12,"Hyundai-i10"
"Mercedes-Benz","GLA Class",2018,6,60000,"Automatic","second","Diesel",2024-11-15,1450000,2024,14.1870741143968,TRUE,10000,12,"Mercedes-Benz-GLA Class"
"Kia","Carens",2023,1,24000,"Manual","first","Petrol",2024-11-15,1225000,2024,14.018451401961,FALSE,24000,12,"Kia-Carens"
"Toyota","Innova",2011,13,100231,"Manual","second","Diesel",2024-11-15,429101,2024,12.969447601436,FALSE,7710.07692307692,12,"Toyota-Innova"
"Maruti Suzuki","Ignis",2023,1,13000,"Manual","second","Petrol",2024-11-15,610000,2024,13.3212142361495,FALSE,13000,12,"Maruti Suzuki-Ignis"
"Hyundai","Grand i10",2017,7,47000,"Manual","first","Petrol",2024-11-15,519999,2024,13.1615821674788,FALSE,6714.28571428571,12,"Hyundai-Grand i10"
"Hyundai","Getz Prime",2007,17,115031,"Manual","second","Petrol",2024-11-15,140000,2024,11.8493977015914,FALSE,6766.52941176471,12,"Hyundai-Getz Prime"
"Maruti Suzuki","Swift",2014,10,67000,"Manual","first","Petrol",2024-11-15,280000,2024,12.5425448821514,FALSE,6700,12,"Maruti Suzuki-Swift"
"Hyundai","Xcent",2016,8,74500,"Manual","first","Diesel",2024-11-15,425000,2024,12.9598444479066,FALSE,9312.5,12,"Hyundai-Xcent"
"Honda","City",2016,8,93000,"Automatic","second","Petrol",2024-11-15,575000,2024,13.2621253197795,FALSE,11625,12,"Honda-City"
"Maruti Suzuki","Ritz",2015,9,59000,"Manual","first","Petrol",2024-11-15,295000,2024,12.594730635322,FALSE,6555.55555555556,12,"Maruti Suzuki-Ritz"
"Toyota","Innova Crysta",2017,7,79000,"Automatic","second","Diesel",2024-11-15,1725000,2024,14.3607376084476,FALSE,11285.7142857143,12,"Toyota-Innova Crysta"
"Hyundai","Verna",2022,2,69000,"Automatic","first","Diesel",2024-11-15,1250000,2024,14.0386541092785,FALSE,34500,12,"Hyundai-Verna"
"Hyundai","Creta",2015,9,76000,"Automatic","second","Diesel",2024-11-15,650000,2024,13.3847276418718,FALSE,8444.44444444445,12,"Hyundai-Creta"
"Kia","Sonet",2020,4,34500,"Automatic","first","Petrol",2024-11-15,935000,2024,13.7483018082708,FALSE,8625,12,"Kia-Sonet"
"Ford","Ecosport",2016,8,130000,"Manual","second","Diesel",2024-11-15,400000,2024,12.8992198260901,TRUE,16250,12,"Ford-Ecosport"
"Mercedes-Benz","GLC Coupe",2022,2,20000,"Automatic","first","Diesel",2024-11-15,7500000,2024,15.8304135785065,TRUE,10000,12,"Mercedes-Benz-GLC Coupe"
"Mahindra","Scorpio-N",2023,1,15905,"Automatic","first","Diesel",2024-11-15,2350000,2024,14.6699258861203,FALSE,15905,12,"Mahindra-Scorpio-N"
"Toyota","Innova Crysta",2021,3,21000,"Manual","first","Diesel",2024-11-15,2125000,2024,14.5692823603407,FALSE,7000,12,"Toyota-Innova Crysta"
"Mini","Cooper 3 DOOR",2019,5,13000,"Automatic","first","Petrol",2024-11-15,3950000,2024,15.1892261368773,FALSE,2600,12,"Mini-Cooper 3 DOOR"
"Maruti Suzuki","Ertiga",2015,9,75000,"Manual","first","Diesel",2024-11-15,435000,2024,12.9831013100708,FALSE,8333.33333333333,12,"Maruti Suzuki-Ertiga"
"Volkswagen","Polo",2012,12,80000,"Manual","second","Diesel",2024-11-15,300000,2024,12.6115377536383,FALSE,6666.66666666667,12,"Volkswagen-Polo"
"Maruti Suzuki","Wagon-R",2016,8,50000,"Manual","first","Petrol",2024-09-15,245000,2024,12.4090134895269,FALSE,6250,10,"Maruti Suzuki-Wagon-R"
"Tata","Nexon",2022,2,40000,"Automatic","second","Petrol",2024-11-15,680000,2024,13.4298480771523,FALSE,20000,12,"Tata-Nexon"
"Maruti Suzuki","Ritz",2013,11,87000,"Manual","first","Diesel",2024-10-15,385000,2024,12.8609986132699,FALSE,7909.09090909091,11,"Maruti Suzuki-Ritz"
"Toyota","Etios",2015,9,150500,"Manual","second","Diesel",2024-11-15,589000,2024,13.2861814626337,FALSE,16722.2222222222,12,"Toyota-Etios"
"Volkswagen","CrossPolo",2014,10,80000,"Manual","second","Diesel",2024-11-15,425000,2024,12.9598444479066,FALSE,8000,12,"Volkswagen-CrossPolo"
"Maruti Suzuki","Wagon-R",2014,10,84000,"Manual","second","Petrol",2024-10-15,265000,2024,12.4874851049684,FALSE,8400,11,"Maruti Suzuki-Wagon-R"
"Volkswagen","Polo",2021,3,18000,"Automatic","first","Petrol",2024-11-15,850000,2024,13.6529916284665,FALSE,6000,12,"Volkswagen-Polo"
"Maruti Suzuki","Baleno",2017,7,47000,"Automatic","first","Petrol",2024-10-15,575000,2024,13.2621253197795,FALSE,6714.28571428571,11,"Maruti Suzuki-Baleno"
"Volkswagen","Vento",2011,13,134000,"Manual","first","Diesel",2024-11-15,425000,2024,12.9598444479066,FALSE,10307.6923076923,12,"Volkswagen-Vento"
"Maruti Suzuki","Alto-K10",2011,13,82000,"Manual","first","Petrol",2024-11-15,180000,2024,12.1007121298723,FALSE,6307.69230769231,12,"Maruti Suzuki-Alto-K10"
"Maruti Suzuki","Celerio",2015,9,35000,"Automatic","first","Petrol",2024-11-15,425000,2024,12.9598444479066,FALSE,3888.88888888889,12,"Maruti Suzuki-Celerio"
"Renault","Duster",2015,9,150000,"Automatic","second","Diesel",2024-11-15,450000,2024,13.0170028617465,FALSE,16666.6666666667,12,"Renault-Duster"
"Toyota","Fortuner",2012,12,132000,"Manual","first","Diesel",2024-10-15,1095000,2024,13.9062649212327,FALSE,11000,11,"Toyota-Fortuner"
"Land Rover","Range Rover Evoque",2017,7,130000,"Automatic","second","Petrol",2024-11-15,2500000,2024,14.7318012898384,TRUE,18571.4285714286,12,"Land Rover-Range Rover Evoque"
"Maruti Suzuki","Ertiga",2020,4,59000,"Automatic","first","Petrol",2024-11-15,980000,2024,13.7953078506468,FALSE,14750,12,"Maruti Suzuki-Ertiga"
"Tata","Nexon",2018,6,95000,"Automatic","second","Petrol",2024-11-15,575000,2024,13.2621253197795,FALSE,15833.3333333333,12,"Tata-Nexon"
"Tata","Indigo Ecs",2016,8,115000,"Manual","second","Diesel",2024-11-15,110000,2024,11.6082356447746,FALSE,14375,12,"Tata-Indigo Ecs"
